hour_block,flow_rate
2025-07-12 22:00:00,121.16071428571429
2025-07-12 23:00:00,156.61525423728813
2025-07-13 00:00:00,170.7782991202346
2025-07-13 01:00:00,79.37690253671562
2025-07-13 02:00:00,169.43032786885246
2025-07-13 03:00:00,149.42666666666668
2025-07-13 10:00:00,129.5
2025-07-13 11:00:00,102.47083333333335
2025-07-13 12:00:00,160.54444444444445
2025-07-13 13:00:00,190.1727272727273
2025-07-13 14:00:00,166.14545454545453
2025-07-13 23:00:00,148.32666666666668
2025-07-14 00:00:00,149.9802547770701
2025-07-14 01:00:00,149.14216867469878
2025-07-14 02:00:00,155.8125
2025-07-14 10:00:00,159.4125
2025-07-14 13:00:00,169.99176470588233
2025-07-14 14:00:00,77.40182648401826
2025-07-14 15:00:00,208.19572953736656
2025-07-14 17:00:00,221.66590163934427
2025-07-14 18:00:00,135.8
2025-07-14 20:00:00,108.93809523809523
2025-07-14 23:00:00,132.53571428571428
2025-07-15 00:00:00,162.60526315789474
2025-07-15 01:00:00,168.12727272727273
2025-07-15 15:00:00,165.29999999999998
2025-07-15 16:00:00,121.02549019607844
2025-07-15 17:00:00,70.63333333333334
2025-07-15 19:00:00,187.70035714285714
2025-07-15 23:00:00,151.03829787234042
2025-07-16 00:00:00,152.88620689655173
2025-07-16 09:00:00,166.175
2025-07-16 13:00:00,152.52727272727273
2025-07-17 12:00:00,150.74166666666667
2025-07-17 13:00:00,175.18270676691728
2025-07-17 17:00:00,153.96481481481482
2025-07-18 14:00:00,210.31695501730104
2025-07-19 10:00:00,174.08091603053435
2025-07-19 11:00:00,112.31062215477996
2025-07-19 12:00:00,123.97242990654205
2025-07-19 17:00:00,163.21140350877192
2025-07-19 18:00:00,173.1637614678899
2025-07-19 19:00:00,161.26910994764398
2025-07-20 00:00:00,146.0174089068826
2025-07-21 02:00:00,153.1629716981132
2025-07-21 03:00:00,194.60747663551402
2025-07-21 04:00:00,180.66137931034484
2025-07-21 05:00:00,198.20026737967913
2025-07-21 21:00:00,170.08461538461538
2025-07-22 00:00:00,164.22105263157894
2025-07-30 22:00:00,315.8636363636364
2025-07-31 20:00:00,176.02820512820514
2025-08-03 15:00:00,167.8777777777778
2025-08-14 13:00:00,157.475
2025-08-15 01:00:00,169.81
2025-08-17 21:00:00,99.1790625
2025-08-17 22:00:00,133.22841945288755
2025-08-17 23:00:00,289.39753846153843
2025-08-18 00:00:00,438.4537974683544
2025-08-18 02:00:00,459.3
2025-08-18 04:00:00,451.5
2025-08-18 05:00:00,445.6
2025-08-18 06:00:00,442.4
2025-08-18 07:00:00,449.7
2025-08-18 08:00:00,450.1
2025-08-18 11:00:00,407.9041002277904
2025-08-18 12:00:00,323.0687405159332
2025-08-18 13:00:00,280.1145896656535
2025-08-18 14:00:00,125.02515151515152
2025-08-18 15:00:00,197.90801815431163
2025-08-18 16:00:00,284.8578787878788
2025-08-18 17:00:00,282.5409090909091
2025-08-18 18:00:00,265.17739557739554
2025-08-18 21:00:00,259.6
2025-08-18 22:00:00,261.5
2025-08-19 02:00:00,262.7
2025-08-19 05:00:00,254.2
2025-08-19 06:00:00,248.5
2025-08-19 09:00:00,244.7
2025-08-19 11:00:00,302.61615384615385
2025-08-19 12:00:00,350.69934210526316
2025-08-19 13:00:00,531.5730337078652
2025-08-19 14:00:00,665.806135986733
2025-08-19 16:00:00,677.35
2025-08-20 10:00:00,617.6696969696969
2025-08-20 11:00:00,465.1030042918455
2025-08-21 09:00:00,143.8940366972477
2025-08-21 12:00:00,113.9
2025-08-22 13:00:00,119.25
2025-08-22 14:00:00,128.9
2025-09-06 22:00:00,97.06666666666666
2025-09-06 23:00:00,107.10000000000001
2025-09-07 00:00:00,78.5875
2025-09-07 01:00:00,91.4875
2025-09-07 02:00:00,93.05
2025-09-07 03:00:00,87.4
2025-09-07 04:00:00,75.77499999999999
2025-09-07 05:00:00,91.725
2025-09-07 06:00:00,93.575
2025-09-07 07:00:00,88.375
2025-09-07 08:00:00,104.475
2025-09-07 09:00:00,69.97500000000001
2025-09-07 10:00:00,97.85
2025-09-07 11:00:00,102.8125
2025-09-07 12:00:00,106.8625
2025-09-07 13:00:00,93.975
2025-09-07 14:00:00,97.675
2025-09-07 15:00:00,90.3625
2025-09-07 16:00:00,99.05
2025-09-07 17:00:00,99.6
2025-09-07 18:00:00,101.625
2025-09-07 19:00:00,92.875
2025-09-07 20:00:00,92.3375
2025-09-07 21:00:00,78.275
2025-09-07 22:00:00,96.52499999999999
2025-09-07 23:00:00,90.175
2025-09-08 00:00:00,94.6875
2025-09-08 01:00:00,77.25
2025-09-08 02:00:00,92.8125
2025-09-08 03:00:00,110.1125
2025-09-08 04:00:00,90.2375
2025-09-08 05:00:00,103.1875
2025-09-08 06:00:00,90.1125
2025-09-08 07:00:00,89.7125
2025-09-08 08:00:00,79.7875
2025-09-08 09:00:00,80.5375
2025-09-08 10:00:00,82.1125
2025-09-08 11:00:00,82.6375
2025-09-08 12:00:00,94.8
2025-09-08 13:00:00,89.45
2025-09-08 14:00:00,74.65
2025-09-08 15:00:00,90.8625
2025-09-08 16:00:00,86.85
2025-09-08 17:00:00,90.9375
2025-09-08 18:00:00,82.8
2025-09-08 19:00:00,101.9625
2025-09-08 20:00:00,83.76249999999999
2025-09-08 21:00:00,92.2125
2025-09-08 22:00:00,92.6375
2025-09-08 23:00:00,79.7625
2025-09-09 00:00:00,101.4375
2025-09-09 01:00:00,95.0125
2025-09-09 02:00:00,72.175
2025-09-09 03:00:00,79.075
2025-09-09 04:00:00,93.8
2025-09-09 05:00:00,96.3125
2025-09-09 06:00:00,95.0125
2025-09-09 07:00:00,86.4125
2025-09-09 08:00:00,87.4875
2025-09-09 09:00:00,101.775
2025-09-09 10:00:00,91.5
2025-09-09 11:00:00,87.7625
2025-09-09 12:00:00,105.45
2025-09-09 13:00:00,66.0125
2025-09-09 14:00:00,86.2
2025-09-09 15:00:00,78.575
2025-09-09 16:00:00,107.0
2025-09-09 17:00:00,98.2375
2025-09-09 18:00:00,89.925
2025-09-09 19:00:00,70.8375
2025-09-09 20:00:00,91.4875
2025-09-09 21:00:00,81.675
2025-09-09 22:00:00,75.2625
2025-09-09 23:00:00,108.6875
2025-09-10 00:00:00,85.95
2025-09-10 01:00:00,99.5125
2025-09-10 02:00:00,87.4875
2025-09-10 03:00:00,91.725
2025-09-10 04:00:00,82.0
2025-09-10 05:00:00,85.875
2025-09-10 06:00:00,96.5
2025-09-10 07:00:00,116.9375
2025-09-10 08:00:00,78.6125
2025-09-10 09:00:00,102.0125
2025-09-10 10:00:00,83.0375
2025-09-10 11:00:00,104.325
2025-09-10 12:00:00,100.6625
2025-09-10 13:00:00,93.1625
2025-09-10 14:00:00,108.3125
2025-09-10 15:00:00,74.0375
2025-09-10 16:00:00,113.8625
2025-09-10 17:00:00,88.275
2025-09-10 18:00:00,98.025
2025-09-10 19:00:00,102.38749999999999
2025-09-10 20:00:00,88.0875
2025-09-10 21:00:00,83.575
2025-09-10 22:00:00,113.8125
2025-09-10 23:00:00,87.0
