day,compressor_status
2025-07-12,0.48066298342541436
2025-07-13,0.6797235023041475
2025-07-14,0.9317365269461078
2025-07-15,0.9957716701902748
2025-07-16,0.9830508474576272
2025-07-17,0.9849246231155779
2025-07-18,0.9930795847750865
2025-07-19,0.9976787372330548
2025-07-20,0.9959514170040485
2025-07-21,0.9680150517403575
2025-07-22,0.8421052631578947
2025-07-30,1.0
2025-07-31,1.0
2025-08-03,1.0
2025-08-14,1.0
2025-08-15,1.0
2025-08-17,0.9944717444717445
2025-08-18,0.7767160686427457
2025-08-19,1.0
2025-08-20,0.9859154929577465
2025-08-21,0.5114155251141552
2025-08-22,0.0
2025-09-06,0.5714285714285714
2025-09-07,0.5208333333333334
2025-09-08,0.4583333333333333
2025-09-09,0.5052083333333334
2025-09-10,0.5260416666666666
2025-09-11,0.8989483310470965
2025-09-12,0.5733333333333334
2025-09-13,0.6730769230769231
2025-09-14,1.0
2025-09-15,1.0
2025-09-25,0.8144007890843334
2025-09-26,0.6789300554016621
2025-09-29,1.0
2025-09-30,1.0
2025-10-01,0.8878898567013206
2025-10-05,0.9943714821763602
2025-10-06,0.40653191732328425
