day,humidity
2025-07-12,37.57518834756404
2025-07-13,45.57119815668203
2025-07-14,29.896347305389224
2025-07-15,41.28181818181818
2025-07-16,39.34237288135593
2025-07-17,39.61005025125628
2025-07-18,42.3121107266436
2025-07-19,42.1397400185701
2025-07-20,46.05546558704454
2025-07-21,42.15145813734713
2025-07-22,39.44736842105263
2025-07-30,41.61948051948052
2025-07-31,38.8025641025641
2025-08-03,40.65555555555555
2025-08-14,40.083333333333336
2025-08-15,40.260000000000005
2025-08-17,33.74312039312039
2025-08-18,31.508307332293292
2025-08-19,33.605110274341044
2025-08-20,24.77806841046278
2025-08-21,40.11461187214612
2025-08-22,37.4
2025-09-06,52.82857142857143
2025-09-07,51.06822916666667
2025-09-08,50.615625
2025-09-09,49.84427083333333
2025-09-10,49.809895833333336
2025-09-11,38.98966620941929
2025-09-12,47.14044444444445
2025-09-13,45.21449704142012
2025-09-14,40.10299479166667
2025-09-15,40.4
2025-09-25,35.11426927502877
2025-09-26,38.07318213296399
2025-09-29,40.0
2025-09-30,35.64054054054054
2025-10-01,41.43531890980612
2025-10-05,42.38386491557223
2025-10-06,25.88533744433025
