timestamp,pressure,temperature,flow_rate,vibration,humidity,compressor_status
2025-06-30T19:58:32.736662+00:00,112.3,58.0,152.9,5.47,40.0,1
2025-06-30T19:58:33.737887+00:00,116.4,58.0,147.8,5.33,39.7,1
2025-06-30T19:58:34.740107+00:00,113.6,57.7,148.8,5.35,39.9,1
2025-06-30T19:58:35.742587+00:00,113.6,57.5,156.3,5.38,39.4,1
2025-06-30T19:58:36.744870+00:00,115.7,57.3,163.5,5.19,38.7,1
2025-06-30T19:58:37.746463+00:00,119.9,57.4,171.6,5.03,39.3,1
2025-06-30T19:58:38.747620+00:00,116.8,57.2,174.3,4.94,38.8,1
2025-06-30T19:58:39.748132+00:00,119.0,57.1,167.9,5.02,38.9,1
2025-06-30T19:58:40.749933+00:00,114.7,57.0,174.2,5.07,38.6,1
2025-06-30T19:58:41.751622+00:00,113.1,56.9,175.4,5.07,39.0,1
2025-06-30T19:58:44.924563+00:00,111.4,56.9,180.2,5.02,38.6,1
2025-06-30T19:58:45.926825+00:00,107.1,57.0,175.4,5.22,39.1,1
2025-06-30T19:58:46.928516+00:00,105.6,56.8,183.4,5.15,39.6,1
2025-06-30T19:58:47.930240+00:00,106.0,56.9,192.0,5.28,39.3,1
2025-06-30T19:58:48.932001+00:00,106.5,56.7,194.4,5.23,38.7,1
2025-06-30T19:58:49.933830+00:00,110.1,56.8,200.7,5.17,38.9,1
2025-06-30T19:58:50.935772+00:00,112.4,57.0,200.0,5.17,38.3,1
2025-06-30T19:58:51.936747+00:00,109.6,57.1,199.8,5.12,38.2,1
2025-06-30T19:58:52.938847+00:00,106.7,57.4,204.8,5.02,37.9,1
2025-06-30T19:58:53.940439+00:00,105.2,57.2,208.9,5.1,37.7,1
2025-06-30T19:58:57.026806+00:00,100.9,56.9,211.6,5.11,37.8,1
2025-06-30T19:58:58.027714+00:00,103.7,57.0,210.3,5.13,38.1,1
2025-06-30T19:58:59.029203+00:00,102.0,57.2,208.4,5.26,37.9,1
2025-06-30T19:59:00.030298+00:00,106.4,57.1,207.8,5.2,38.3,1
2025-06-30T19:59:01.032238+00:00,104.6,57.3,201.3,5.21,38.1,1
2025-06-30T19:59:02.032445+00:00,104.7,57.3,196.0,5.28,37.9,1
2025-06-30T19:59:03.033948+00:00,102.3,57.5,186.1,5.44,37.3,1
2025-06-30T19:59:04.034832+00:00,104.0,57.7,184.9,5.4,36.9,1
2025-06-30T19:59:05.036537+00:00,106.7,57.4,186.1,5.57,36.5,1
2025-06-30T19:59:06.037489+00:00,104.7,57.5,176.5,5.58,36.3,1
2025-06-30T19:59:09.081217+00:00,102.9,57.7,180.2,5.54,36.4,1
