2025-06-30T22:24:13.034110+00:00,flow_rate,179.4,-1.55
2025-06-30T22:24:13.034110+00:00,vibration,5.66,0.7
2025-06-30T22:24:13.034110+00:00,humidity,39.4,-1.8
2025-06-30T22:24:20.213382+00:00,temperature,57.8,1.6
2025-06-30T22:24:20.213382+00:00,flow_rate,180.9,-1.32
2025-06-30T22:24:20.213382+00:00,humidity,37.5,-1.89
2025-09-11T07:08:57.722444+00:00,temperature,58.7,1.24
2025-09-11T07:08:57.722444+00:00,flow_rate,182.5,2.23
2025-09-13T17:19:30.865252+00:00,pressure,145.1,-3.08
2025-09-13T20:15:21.149562+00:00,humidity,69.0,1.78
2025-09-13T20:17:08.034631+00:00,humidity,34.1,-1.14
2025-09-13T20:20:50.701386+00:00,humidity,43.6,-0.44
